title,price
"Samsung Galaxy S25 5G AI Smartphone (Silver Shadow, 12GB RAM, 256GB Storage), 50MP Camera with Galaxy AI","80,999"
"Samsung Galaxy S25+ 5G AI Smartphone (Silver Shadow, 12GB RAM, 512GB Storage), 50MP Camera with Galaxy AI","99,999"
Apple iPhone 15 (128 GB) - Pink,"61,499"
Apple iPhone 15 (128 GB) - Green,"61,499"
Apple iPhone 15 (128 GB) - Black,"61,499"
Apple iPhone 13 (128GB) - Blue,"43,999"
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Transparent),129
Apple iPhone 13 (128GB) - Green,"44,999"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,900"
Apple iPhone 13 (128GB) - Midnight,"43,999"
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)","71,999"
Apple iPhone 13 (128GB) - (Product) RED,"43,499"
"amazon basics Tabletop Stand for Mobile, Tablet and E-Reader, Clip Mount, Multi-Angle, Foldable, Lazy Bracket, Universal Compatibility",199
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Clear),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Dark Blue),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Black),299
Amazon Brand-Solimo Basic Case for Apple iPhone 16 (Silicone_Black),299
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","83,400"
Amazon Brand- Solimo Flip for Apple iPhone 14 (Leather_Brown),168
